City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,namsos,64.4662,11.4957,21.03,72,20,4.12,NO,1723070731
1,lata,40.1629,-8.3327,13.61,97,1,0.75,PT,1723070733
2,port alfred,-33.5906,26.891,16.81,47,4,4.44,ZA,1723070734
3,negapatam,10.7667,79.8333,26.88,81,100,3.61,IN,1723070735
4,bethel,41.3712,-73.414,19.8,86,94,0.45,US,1723070736
5,tiksi,71.6872,128.8694,7.85,85,100,0.88,RU,1723070737
6,blackmans bay,-43.0167,147.3167,8.18,82,100,0.45,AU,1723070738
7,albany,42.6001,-73.9662,23.76,70,35,0.45,US,1723070739
8,grytviken,-54.2811,-36.5092,-8.15,72,45,5.56,GS,1723070741
9,dwarka,22.2394,68.9678,27.47,85,95,9.2,IN,1723070742
10,ribeira grande,38.5167,-28.7,22.65,83,8,2.24,PT,1723070743
11,aykhal,66.0,111.5,15.43,57,94,5.5,RU,1723070744
12,constantia,44.1833,28.65,18.38,71,3,1.9,RO,1723070646
13,kodiak,57.79,-152.4072,14.73,82,100,3.09,US,1723070746
14,tabou,4.423,-7.3528,24.0,76,100,4.19,CI,1723070747
15,adamstown,-25.066,-130.1015,18.99,64,28,2.76,PN,1723070748
16,invercargill,-46.4,168.35,8.9,92,78,3.58,NZ,1723070750
17,lihue,21.9789,-159.3672,29.3,69,75,7.2,US,1723070752
18,bilibino,68.0546,166.4372,11.19,47,0,2.21,RU,1723070753
19,papatowai,-46.5619,169.4708,7.94,91,100,3.62,NZ,1723070757
20,bikenibeu village,1.3673,173.1241,29.98,66,75,1.54,KI,1723070758
21,at taj,24.2049,23.2857,30.34,17,2,4.03,LY,1723070759
22,junin,-34.5838,-60.9433,7.11,76,43,8.26,AR,1723070760
23,longyearbyen,78.2186,15.6401,13.91,82,75,2.06,SJ,1723070761
24,la ronge,55.1001,-105.2842,17.14,42,75,5.14,CA,1723070763
25,iskateley,67.6803,53.1512,4.92,91,5,2.64,RU,1723070764
26,yanggu,36.1106,115.7753,24.81,93,45,2.11,CN,1723070765
27,ciudad bolivar,8.1222,-63.5497,28.46,73,81,3.45,VE,1723070766
28,flying fish cove,-10.4217,105.6791,24.82,88,100,6.69,CX,1723070767
29,keelung,25.1283,121.7419,30.05,78,76,2.68,TW,1723070768
30,waitangi,-43.9535,-176.5597,11.01,92,61,4.02,NZ,1723070769
31,port moresby,-9.4431,147.1797,24.68,83,75,5.14,PG,1723070771
32,jamestown,42.097,-79.2353,24.2,63,75,4.63,US,1723070772
33,puerto ayora,-0.7393,-90.3518,24.98,94,32,2.68,EC,1723070773
34,saint-philippe,-21.3585,55.7679,18.77,79,0,2.08,RE,1723070774
35,west island,-12.1568,96.8225,26.99,74,100,6.17,CC,1723070775
36,astrea,9.4983,-73.9759,28.01,78,86,1.6,CO,1723070776
37,roshal',55.6685,39.8749,14.39,84,96,0.16,RU,1723070778
38,floro,61.5996,5.0328,15.04,88,100,9.26,NO,1723070779
39,hargeysa,9.56,44.065,22.22,61,33,10.64,SO,1723070780
40,aasiaat,68.7098,-52.8699,4.17,94,75,3.78,GL,1723070781
41,kapa'a,22.0752,-159.319,29.71,63,75,7.2,US,1723070782
42,posto fiscal rolim de moura,-13.0833,-62.2667,28.89,40,46,1.08,BR,1723070783
43,vilyuchinsk,52.9306,158.4028,23.15,82,40,4.6,RU,1723070784
44,karratha,-20.7377,116.8463,19.5,40,15,4.64,AU,1723070786
45,colares,38.7992,-9.4469,19.99,79,0,10.28,PT,1723070787
46,peddapalli,18.6167,79.3667,23.58,93,100,3.3,IN,1723070788
47,yuzhno-kurilsk,44.0306,145.8556,17.65,99,100,3.95,RU,1723070789
48,vila franca do campo,37.7167,-25.4333,23.23,88,75,3.12,PT,1723070790
49,carnarvon,-24.8667,113.6333,16.99,77,0,5.1,AU,1723070791
50,port mathurin,-19.6833,63.4167,22.23,74,10,5.07,MU,1723070792
51,port-aux-francais,-49.35,70.2167,0.74,97,99,13.06,TF,1723070794
52,keflavik,64.0049,-22.5624,11.95,93,0,3.09,IS,1723070795
53,north battleford,52.7834,-108.2847,20.22,45,20,3.09,CA,1723070639
54,guiuan,11.0333,125.7247,29.09,75,51,4.18,PH,1723070797
55,georgetown,5.4112,100.3354,26.96,78,20,1.03,MY,1723070798
56,stanley,54.868,-1.6985,14.33,83,20,1.03,GB,1723070799
57,saipan,15.1355,145.701,30.39,79,20,2.57,MP,1723070800
58,isafjordur,66.0755,-23.124,5.72,91,91,1.02,IS,1723070801
59,hamilton,39.1834,-84.5333,29.35,69,63,3.58,US,1723070803
60,pimentel,-6.8367,-79.9342,19.16,72,0,10.29,PE,1723070804
61,olonkinbyen,70.9221,-8.7187,5.82,100,100,2.57,SJ,1723070805
62,san patricio,28.017,-97.5169,35.86,43,14,6.84,US,1723070806
63,bubaque,11.2833,-15.8333,26.42,84,98,7.43,GW,1723070807
64,nchelenge,-9.3451,28.734,19.28,34,46,2.55,ZM,1723070809
65,conduaga,8.862,117.4893,26.57,84,92,1.73,PH,1723070810
66,hawaiian paradise park,19.5933,-154.9731,28.82,72,0,4.63,US,1723070811
67,yantarnyy,54.8717,19.9381,13.92,83,31,3.56,RU,1723070812
68,roberval,48.5168,-72.2324,20.35,52,75,2.06,CA,1723070813
69,atafu village,-8.5421,-172.5159,28.63,68,49,8.99,TK,1723070814
70,lodja,-3.4833,23.4333,24.62,31,34,0.88,CD,1723070815
71,bolotnoye,55.6717,84.3981,14.58,98,12,2.49,RU,1723070817
72,edinburgh of the seven seas,-37.0676,-12.3116,8.54,61,99,13.75,SH,1723070818
73,margaret river,-33.95,115.0667,14.38,60,61,5.41,AU,1723070820
74,puerto natales,-51.7236,-72.4875,-0.75,93,75,3.6,CL,1723070821
75,haiku-pauwela,20.9219,-156.3051,28.47,65,20,13.89,US,1723070822
76,kerikeri,-35.2268,173.9474,14.95,81,83,3.13,NZ,1723070825
77,narrabri,-30.3167,149.7833,13.85,69,0,1.25,AU,1723070826
78,qamdo,31.1667,97.2333,7.2,83,100,2.0,CN,1723070827
79,thompson,55.7435,-97.8558,18.09,48,75,5.14,CA,1723070828
80,olyokminsk,60.3736,120.4264,16.89,51,13,1.62,RU,1723070829
81,afaahiti,-17.75,-149.2833,26.93,83,25,8.51,PF,1723070831
82,port elizabeth,-33.918,25.5701,15.73,44,20,3.09,ZA,1723070832
83,kupang,-10.1667,123.5833,25.32,83,20,6.17,ID,1723070833
84,bredasdorp,-34.5322,20.0403,8.82,95,1,1.28,ZA,1723070834
85,emerald,-23.5333,148.1667,14.63,95,1,3.28,AU,1723070835
86,college,64.8569,-147.8028,25.18,52,75,1.54,US,1723070836
87,vodnyy,63.5046,53.4095,8.84,76,2,1.11,RU,1723070837
88,hsinchu,24.8036,120.9686,28.81,82,45,0.89,TW,1723070839
89,nikki,9.9401,3.2108,22.12,94,98,2.89,BJ,1723070840
90,iqaluit,63.7506,-68.5145,11.85,54,40,1.54,CA,1723070841
91,puerto deseado,-47.7503,-65.8938,4.04,80,8,7.69,AR,1723070842
92,broken hill,-31.95,141.4333,10.95,62,100,5.96,AU,1723070844
93,puerto baquerizo moreno,-0.9,-89.6,21.55,88,75,7.72,EC,1723070845
94,paradise,36.0972,-115.1467,42.3,23,40,8.75,US,1723070577
95,minas de matahambre,22.5887,-83.9447,29.27,68,25,3.28,CU,1723070848
96,susuman,62.7833,148.1667,10.21,82,100,0.21,RU,1723070849
97,klaksvik,62.2266,-6.589,10.51,90,83,1.47,FO,1723070850
98,vorgashor,67.5833,63.95,5.45,81,14,2.68,RU,1723070851
99,palikir - national government center,6.9248,158.1611,30.41,74,40,1.54,FM,1723070852
100,tazacorte,28.629,-17.9293,23.54,87,100,7.2,ES,1723070854
101,lazaro cardenas,17.9583,-102.2,30.37,69,54,6.84,MX,1723070855
102,sao joao da barra,-21.6403,-41.0511,23.05,80,0,11.04,BR,1723070856
103,coquimbo,-29.9533,-71.3436,12.85,70,75,4.12,CL,1723070458
104,morinville,53.8001,-113.652,23.66,47,33,3.13,CA,1723070858
105,rongelap,11.1635,166.8941,28.22,77,95,6.11,MH,1723070859
106,baza,37.4907,-2.7726,25.32,73,0,2.89,ES,1723070861
107,ancud,-41.8697,-73.8203,5.84,85,3,1.35,CL,1723070805
108,utrik,11.2278,169.8474,28.3,78,74,5.73,MH,1723070863
109,udachny,66.4167,112.4,15.83,53,90,5.68,RU,1723070864
110,kabare,-2.4683,28.8242,19.93,50,96,0.66,CD,1723070865
111,urzhar,47.093,81.6294,21.39,42,77,2.61,KZ,1723070866
112,galle,6.0367,80.217,28.85,82,26,5.81,LK,1723070867
113,whitehorse,60.7161,-135.0538,28.34,28,0,7.72,CA,1723070869
114,yellowknife,62.456,-114.3525,22.45,46,40,7.72,CA,1723070715
115,hermanus,-34.4187,19.2345,9.33,85,1,2.43,ZA,1723070871
116,tsiombe,-25.3,45.4833,19.64,83,58,5.94,MG,1723070872
117,mabaruma,8.2,-59.7833,24.18,94,44,0.9,GY,1723070873
118,fengkou,30.0833,113.2667,27.68,78,2,3.08,CN,1723070874
119,kovur,14.4833,79.9833,26.64,79,100,5.2,IN,1723070875
120,ambo,-10.1308,-76.2047,19.02,71,57,4.23,PE,1723070877
121,rangeville,-27.585,151.9784,13.42,66,2,1.34,AU,1723070878
122,hobyo,5.3505,48.5268,24.23,86,100,10.13,SO,1723070879
123,badger,64.8,-147.5333,25.14,45,75,1.54,US,1723070883
124,kamenka,51.3223,42.7678,17.73,64,71,1.82,RU,1723070884
